Model,R²,MAE,RMSE,Time
DummyRegressor,-8.222883998820762e-06,198.77452239432827,261.83123895540047,4.405361652374268
DummyRegressor,-8.211846447281346e-06,198.49840503974636,262.00714225056316,4.419555187225342
LinearRegression,0.291936410682446,161.2977362170183,220.32095547311775,2.2887966632843018
LinearRegression,0.2926287647377047,161.10513258422637,220.3611574545198,2.332205295562744
DecisionTreeRegressor,0.33609389705533477,151.738359309254,213.34035118125087,4.586498975753784
DecisionTreeRegressor,0.3376496532690021,151.5059974181429,213.23339965116088,4.625671863555908
