Results,R²,MAE,RMSE,Time
Initial,0.3360938970553347,151.738359309254,213.34035118125087,4.586498975753784
Initial,0.3376496532690021,151.5059974181429,213.23339965116088,4.625671863555908
Final,0.9062912011890503,22.05954726851836,80.15116896238989,25.81219720840454
Final,0.9088614223049001,22.131431609054495,79.09744777812051,25.645097970962524
